,waitlistFlag,sanctionFlag,contactDetails_address_geoLocationDetails_latitude,contactDetails_address_geoLocationDetails_longitude,Room Size,home,maximumRAD,maximumDAP
7461,True,False,-34.0214176,151.0678777,Each room is 21sqm ceiling height of 2.4m.,Thomas Holt Kirrawee,550000.0,94.63
7463,True,False,-34.0214176,151.0678777,Each room is 21sqm ceiling height of 2.4m.,Thomas Holt Kirrawee,550000.0,94.63
7464,True,False,-34.0214176,151.0678777,Each room is 21sqm ceiling height of 2.4m.,Thomas Holt Kirrawee,550000.0,94.63
7465,True,False,-34.0214176,151.0678777,Each room 10-13sqm ceiling height of 2.4m.,Thomas Holt Kirrawee,550000.0,94.63
7466,True,False,-34.0214176,151.0678777,Each room is 21sqm with ceiling height 2.4m.,Thomas Holt Kirrawee,550000.0,94.63
7467,True,False,-34.0214176,151.0678777,Each room is 21sqm with a ceiling height of 2.6m.,Thomas Holt Kirrawee,550000.0,94.63
7468,True,False,-34.0214176,151.0678777,Each room is 21sqm with a ceiling height of 2.6m.,Thomas Holt Kirrawee,550000.0,94.63
7470,True,False,-34.0214176,151.0678777,Each room is 21sqm with ceiling height 2.4m.,Thomas Holt Kirrawee,550000.0,94.63
7471,True,False,-34.0214176,151.0678777,Each room is 21sqm with ceiling height 2.4m.,Thomas Holt Kirrawee,550000.0,94.63
7472,True,False,-34.0214176,151.0678777,Each room 13sqm with a ceiling height of 2.4m.,Thomas Holt Kirrawee,550000.0,94.63
7473,True,False,-34.0214176,151.0678777,Each room is 21sqm with a ceiling height of 2.6m.,Thomas Holt Kirrawee,350000.0,60.22
7474,True,False,-33.9891112,151.1435169,Each room is 15sqm with a ceiling height of 2.6m,Thomas Holt Sans Souci Gardens,550000.0,94.63
7475,True,False,-33.9891112,151.1435169,Each room is 15sqm ceiling height of 2.6m.,Thomas Holt Sans Souci Gardens,550000.0,94.63
7476,True,False,-33.9155968,151.1503192,Approximately 16m2,Thomas Roseby Lodge,395000.0,67.96
7477,True,False,-33.9155968,151.1503192,Approximately 17m2,Thomas Roseby Lodge,395000.0,67.96
7478,True,False,-32.118202,116.0003474,22,Thomas Scott Hostel,300000.0,51.62
7479,True,False,-32.118202,116.0003474,22,Thomas Scott Hostel,350000.0,60.22
7482,False,False,-33.4983286,150.1265178,20,Three Tree Lodge,335000.0,57.64
7484,True,False,,,18.20 square metres approximately,Ti Tree Lodge,550000.0,94.63
7485,True,False,,,21.70 sq metres approximately,Ti Tree Lodge,700000.0,120.44
7486,True,False,,,29.60 sq meters approximately,Ti Tree Lodge,1000000.0,172.05
7487,True,False,-32.2430897,148.2401345,15,Timbrebongie House,138000.0,23.74
7488,True,False,-32.2430897,148.2401345,28,Timbrebongie House,176000.0,30.28
7489,True,False,-32.2430897,148.2401345,17,Timbrebongie House,176000.0,30.28
7490,True,False,-32.9098702,151.7247025,18.1 to 18.5 sq metres,Tinonee Gardens - The Multicultural Village,380000.0,65.38
7491,True,False,-32.9098702,151.7247025,20.0 to 25 sq metres,Tinonee Gardens - The Multicultural Village,450000.0,77.42
